Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
12923,Mozak,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Memphis,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",Innova Memphis,,Tennessee,2b8804ea43c8cf6257816d13f1dad735,38103,mozak
12924,Ajax Intel,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Memphis,United States,,,,Innova Memphis,,Tennessee,30911506a36e664d591aa61380844583,,ajax-intel
12925,PATH EX,,1 - 10,0.64,4,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Nashville,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",Innova Memphis,,Tennessee,52e8fca7949c74501afdc8c329292ab9,37211,path-ex
12926,Transerve Technologies,,11 - 50,1.6,1,1.6,venture_a,Early Stage Venture,2.0,,crunchbase,Panaji,India,India,,,IL&FS Investment Managers;Omidyar Network,,Goa,002484ffbde7829a69c03b5e2784aa77,403001,transerve-technologies
12927,Teatime Games,,,9.1,2,7.5,venture_a,Early Stage Venture,2.0,,crunchbase,Reykjavík,Iceland,Nordics,,,Atomico;Index Ventures,,Gullbringusysla,cd276d627ceb6a53fc9e0921651b5084,,teatime-games
12928,Banana Culture,,11 - 50,35.7,2,30.0,venture_b,Early Stage Venture,4.0,,crunchbase,Seoul,South Korea,Korea,['Yedang Entertainment'],,Matrix Partners China;IDG Capital;Capital eSports;Seeinfront Capital,,Seoul-t'ukpyolsi,c84448483ed0ca4112bbb5122b754e1b,,banana-culture
12929,Legion,,11 - 50,10.5,1,10.5,venture_a,Early Stage Venture,4.0,,crunchbase,Menlo Park,United States,US-West,,Northern California,First Round Capital;Webb Investment Network;Norwest Venture Partners;XYZ Venture Capital,,California,eef82b43e06caef48ad72f1786f32f07,94025,legion
12930,Engage Therapeutics,,,23.6,1,23.6,venture_a,Early Stage Venture,4.0,,crunchbase,Summit,United States,,,,Granite Point Capital;Lumira Ventures;Adage Capital Management;TPG Biotech,,New Jersey,598647ef964a9ccffb89ad0e40f7657a,,engage-therapeutics
12931,Specific Diagnostics,,11 - 50,12.5,1,12.5,venture_unknown,Late Stage Venture,1.0,,crunchbase,Mountain View,United States,US-West,,Northern California,Telegraph Hill Partners,,California,32659f4b5b4b8cb215db6e88c908077b,94043,specific
12932,iRecommend Software™,,11 - 50,2.075,1,2.075,venture_a,Early Stage Venture,2.0,,crunchbase,Tulsa,United States,US-West,['iRecommend'],Southwest,i2E;The William K. Warren Foundation,,Oklahoma,97a06e111c45be6908276c52b2aca422,74103,irecommend-software
12933,Distrii,,11 - 50,53.111929,2,23.0,venture_a,Early Stage Venture,1.0,,crunchbase,Shanghai,China,Greater China,,,Fenghua Capital,,Shanghai,822913d72d1a213534ae5ea1d9914ac7,,distrii
12934,Colospan,,,8.05268,2,8.0,venture_unknown,Late Stage Venture,4.0,,crunchbase,Kfar Saba,Israel,Israel,,,Clal Biotechnology Industries;Triventures;Docor International Management;Amit Technion,,HaMerkaz,2ebb56272085f9a38615556685c76513,44643,colospan
12935,Winder Power,,101 - 250,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Pudsey,United Kingdom,UK&I,,,Mercia Fund Managers,,York,51f8714493aa5bd0bc878920ddfdde71,LS28 6QS,winder-power
12936,New Solutions GmbH,,,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Burghausen,Germany,GSA,,,Alpina Partners,,Bayern,625ba0447254f9b8fcbdc3065785e29c,84489,new-solutions-gmbh
