Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7267,Huddle Insurance,,11 - 50,23.671538,2,19.25,venture_a,Early Stage Venture,4.0,1239620.0,crunchbase,Sydney,Australia,Oceania,,,AirTree Ventures;Seven West Media;Alium Capital;Hollard Insurance,,New South Wales,650a54ecd95b459a7652f5c05d1e1de9,2010,huddle-money
7268,ZY Therapeutics,,,6.0,1,6.0,venture_unknown,Late Stage Venture,,,crunchbase,Cary,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,North Carolina,c747f4abfd4fb9ff61976233355a85fd,27519,zy-therapeutics
7269,UnfoldU Inc.,,1 - 10,2.0,1,2.0,venture_unknown,Late Stage Venture,,1782568.0,crunchbase,Brampton,United Kingdom,UK&I,,,,,Cambridgeshire,934e82d9b725f5f4de629ac2a942606b,ON L6Y 0P6,unfoldu-inc
7270,An Cuong,,,30.0,1,30.0,venture_unknown,Late Stage Venture,2.0,483939.0,crunchbase,Ho Chi Minh City,Vietnam,Asean,,,VinaCapital Investment Management;DEG,,NA - Vietnam,76bbe7387558477a48edb50ce4e1226b,,an-cuong
7271,Ampersand Health,,11 - 50,20.000017,1,20.000017,venture_unknown,Late Stage Venture,,19296580.0,crunchbase,Nashville,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,Tennessee,d4158fdc552aca177c3400637e784df6,37212,ampersand-health
7272,Replenish,,11 - 50,6.8747440000000015,3,6.8747440000000015,venture_unknown,Late Stage Venture,2.0,7570599.0,crunchbase,San Francisco,United States,US-West,['Livblends'],Northern California,Alumni Ventures Group;Castor Ventures,,California,9eff1c5d9eb4ed2eba5b6ff813a3d2be,94110,replenish-2
7273,Jiobit,,11 - 50,12.4,4,6.5,venture_unknown,Late Stage Venture,9.0,882220.0,crunchbase,Chicago,United States,US-Central,,Midwest,Wakestream Ventures;Harvard Business School Angels Chicago;NETGEAR;Sandalphon Capital;Techstars Ventures;MATH Venture Partners,"Ron, Lior;Guren, Sam;Shimkus, Glenn",Illinois,1d5a18e0d31eac7c7935e3892dced4d9,60654,jio-inc
7274,Tigera,,51 - 100,53.0,3,30.0,venture_b,Early Stage Venture,4.0,1427790.0,crunchbase,San Francisco,United States,US-West,,Northern California,Insight Partners;Madrona Venture Group;New Enterprise Associates;Wing,,California,009d8978b302c183ead866993a5952ca,94108,tigera
7275,ROOBO,,251 - 500,153.0,2,53.0,venture_b,Early Stage Venture,1.0,3919481.0,crunchbase,Beijing,China,Greater China,"['北京儒博科技有限公司', '儒博']",,Seven Seas Partners,,Beijing,58c17867d209859be13fa4cd59438b32,,roobo
7276,TAXIS Pharmaceuticals,,1 - 10,3.025969,1,3.025969,venture_unknown,Late Stage Venture,,,crunchbase,Monmouth Junction,United States,US-East,,New Jersey,,,New Jersey,e8884fdd536588a58bcf353820d42118,08852,taxis-pharmaceuticals
7277,BetterDoc,,11 - 50,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,1664557.0,crunchbase,Cologne,Germany,GSA,,,Heartbeat Labs,,Nordrhein-Westfalen,83e05316c0f4e2e17a0b796f3efa11fa,50672,betterdoc
