Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
25840,ApplePie Capital,,11 - 50,35.374,4,9.604,venture_b,Early Stage Venture,1.0,3288865.0,crunchbase,San Francisco,United States,US-West,,Northern California,DHVC,,California,7e90b00eb9cb3e1feb91ca39b64bebb9,94104,applepie-capital
25841,B2Link,,101 - 250,21.8,3,15.0,venture_unknown,Late Stage Venture,7.0,3657882.0,crunchbase,Seoul,South Korea,Korea,,,Korea Kolmar Co.;Premier Partners;Korea Development Bank;Cape Securities;POSCO Venture Capital;Delta Investment;Angel Ventures,,Seoul-t'ukpyolsi,fce8eada4a293b7f9db430d45da32df0,,b2link
25842,mPharma,,11 - 50,25.1,7,12.0,venture_b,Early Stage Venture,4.0,944457.0,crunchbase,Accra,Ghana,Africa,,,Golden Palm Investments;4DX Ventures,"Mateen, Justin;Li, Martin",Greater Accra,866b7bae832e43f82eabb06a8a89a8af,,mpharma
25843,Snapask,,101 - 250,56.8,5,35.0,venture_b,Early Stage Venture,2.0,336783.0,crunchbase,Kowloon City,Hong Kong,Greater China,['Appedu'],,Asia Partners Fund Management;InterVest Co.,,Kowloon,ee536885ce7cafb94dd5f9a5c1594578,,appedu
25844,Peel-Works,,101 - 250,10.972,10,0.0,venture_b,Early Stage Venture,6.0,4301266.0,crunchbase,Mumbai,India,India,,,Inventus Capital;Equanimity Investments;Unilever Ventures;HDFC Bank;Chiratae Ventures,"Raschle, Brun",Maharashtra,a07085ca30ae28d7ac535f5e14438ae6,400098,peel-works
25845,PellePharm,,11 - 50,108.776198,8,70.0,venture_unknown,Late Stage Venture,1.0,7419374.0,crunchbase,Menlo Park,United States,US-West,,Northern California,LEO Pharma,,California,3c9d74aa31b2958bbcba2be09db52726,94025,pellepharm
25846,Emulate,,51 - 100,95.0,5,36.0,venture_c,Late Stage Venture,5.0,1756310.0,crunchbase,Boston,United States,US-East,,New England,Glass Wall Syndicate;Starlight Ventures;ALS Investment Fund;Founders Fund;SciFi VC,,Massachusetts,173c585480f4bd91977ddd4445cdf0fd,02139,emulate
25847,Learnship,,251 - 500,12.256344,3,12.256344,venture_unknown,Late Stage Venture,2.0,321883.0,crunchbase,Köln,Germany,GSA,,,THI Investments;Capnamic Ventures,,Nordrhein-Westfalen,16d29d9eb50f8554ca06a11ebef3476b,50933,learnship
25848,Lamudi,,251 - 500,56.4,4,31.4,venture_unknown,Late Stage Venture,3.0,675674.0,crunchbase,Berlin,Germany,GSA,,,HV Holtzbrinck Ventures;TEV Ventures;Asia Pacific Internet Group,,Berlin,b20522b7be93f189f9fc71e561bca102,10961,lamudi-2
25849,N.thing,,11 - 50,5.0760000000000005,5,2.8,venture_a,Early Stage Venture,2.0,2201323.0,crunchbase,Seoul,South Korea,Korea,"['엔씽', 'nthing']",,Spring Camp;UQI Partners Corporation,,Seoul-t'ukpyolsi,86daa0059258e2d0d37a568965637bdc,06103,n-thing
25850,MphRx,,101 - 250,8.08,1,8.08,venture_unknown,Late Stage Venture,,1486987.0,crunchbase,New York,United States,,,,,,New York,fd99490a13513e9df56078be7063831d,,mphrx
25851,Digsite,,11 - 50,2.324996,4,1.089996,venture_unknown,Late Stage Venture,,2240314.0,crunchbase,Madison,United States,,,,,,Wisconsin,269a9c79395827058633f9b714dfef2b,,digsite
25852,Garmentory,,1 - 10,3.4,4,2.0,venture_unknown,Late Stage Venture,4.0,98480.0,crunchbase,Seattle,United States,US-West,,Pacific Northwest,415;MHS Capital;Puget Sound Venture Club;Founders' Co-op,,Washington,7c52831c67a437d664425e28746681ec,98105,garmentory
25853,ABA English,,51 - 100,15.4,2,12.0,venture_unknown,Late Stage Venture,2.0,57084.0,crunchbase,Barcelona,Spain,Mediterranean,,,Nauta Capital;Kennet Partners,,Catalonia,2c7a6ae1351219aa037e8eb4d8027ea2,08006,aba-english
25854,Veestro,,11 - 50,1.875,2,1.5,venture_unknown,Late Stage Venture,2.0,248499.0,crunchbase,Los Angeles,United States,,,,Starcorp International S.A.;M&A Capital,,California,d6bb3722ef2d1e03344680b2e69cad10,,veestro
25855,Flexport,,1001 - 5000,1304.0,6,3200.0,venture_d,Late Stage Venture,8.0,155563.0,crunchbase,San Francisco,United States,US-West,['Flexport International LLC'],Northern California,DST Global;G Squared;S.F. Express;SoftBank Vision Fund;Next Play Capital;Susa Ventures;Cherubic Ventures;Founders Fund,,California,283fed71eb418a76bf4606787c3981e5,94102,flexport
